OTU_ID	8937656c16c20701c107e715bad86732	ac5402de1ddf427ab8d2b0a8a0a44f19	ea2b0e4a93c24c6c3661cbe347f93b74	60c57911662a9159dfdd0fc05d975a55	79280cea51a6fe8a3432b2f266dd34db	149e7d5e484d157f2ac6140a2111618e	04195686f2b70585790ec75320de0d6f	ad52a0f6646c574417ce0b13b84acfa9	e6a34eb113dba66df0b8bbec907a8f5d	5d62137a2d05df0be8d6b7e163a3ef08	c162a4f3943238810eba8a25f0563cca	eea6b86c0c75e740670ccc50613b1b23	c4f9ef34bd2919511069f409c25de6f1	25def15fb42bed6855ede4893d27a21d	0cc2420a6a4698f8bf664d50b17d26b4	b0645cbec7653c887cb868a248d95874	d061a99148d649c4eca4836c5f4b5b68	ad7bc2bb6e1ec90a9bc3c8949bce80d6	010f0ac2691bc0be12d0633d4b5d2cc4	04c8be5a3a6ba2d70446812e99318905	2a99ec1157a90661db7ff643b82f1914	d05c86b5bfc092d8677507fb1eae8d66	6c7fa77831ae630967a6fbfc8ee47901	e5a43b018c81cedd19e9a5354d32d469	d39f37b814ebd81091a949f8bd9d1710	1c86153e1b13ab5322c96f2602b73513	a66dd8d31584930c2b0f811f572dddcf	40c85a458df8d5a935122ba778d4f334	3d766867c97f511431bf97e059d6498f	cae14798faeabb8e1b8840e712839921	363c1c39d58bce4fc3218659d0944258	458157e555a80f9ba01d9da37ef787eb	e2c3ff4f647112723741aa72087f1bfa	f7686a74ca2d3729eb66305e8a26309b	2b982979f2401a8bc447d7141879e9b2	599ba6458e91e2527f358f547ea39261	552e00cb506f739acaf08aa5641f9d84	959d48a11e3b26c9268f0bd1dae6ec40	8bb5ff097e0707dca3fe5860af20f4a6	c942f59feffce9c3ab527135de234101	ca9dec36ad0aa5a1473144ddcb74951d	77ad88eed91eef009bf64f101c96baa6	59196a586276f0be745d0e334fc071c6	19cb3add28813b2bf3e1f40a000d33c2	a24dae6b87885a55d81df1ea6d1abaf5	fd1f139259c53276619476db0cc81913	cc968157f7691aab95df444e8cd103e2	fea3411c847e6627afb5e78b88e2e9af	74ec9fe6ffab4ecff6d5def74298a825	a3607a88a8ed64e24a374847b23e404f	b1f2146bef78066448576fceeb6b644b	9099a7f671b923c7b07c12508f17270a	de61860db8d93da85692dffb5cf32ab9	8720f9ecd2331ce68e2896df1bf2d977	2ae8a432208b85a14e86eb821c86ce2b	4c731267e801c2afe253b5cbb58bdd24	bda6b6e7da7508c68057140e7bd6cd8d	447b9d6a5c17543a456c597e65b37139	4311a44a7d56ce4086afad3e75bedd6e	8ce931b0c99ad5ed648c25483c1ca492	877f27b47c85f6b2d3cf8a6aa86def40	6a17479edbe461431433bddb084f731e	39bb3fb5b2257fd2eacca408dc42c5d1	399bcf0feb12a20ca0731d8d65268dae	58df89090206b56c52bfffa4b97f4d5d	30207d209491dfb7de83344e77fd6fbd	3b092a59cd0e2d57483420cc994ec49c	686d42b9552375c3b61301ae5605e3a2	a650f349bbdffb95b3624519d1ba72b8	218a6324d16b842a38c70f1088a7c8b0	1a389bf765c8ff0f92600f684fbe7ad7	340a5698fe78713b785c3bcce89df73b	1527fd8b14037f53b8edb26b111e1f72	588a23811b3e98af68f4f0fb24a0daa8	c82032c40c98975f71892e4be561c87a	10cd502b01abafc87e2ecbad86389286	8a261f382a739bbc5f9494b2c64c2744	148c7eb0139bbc1b8c87dd31464742e4	1ef782a559e3e0a4ab42516e0a2c828f	89aabf43d24dd5bd0fd0f5aca189d341	c1365ec008032ee718dcafaf5ac17adb	370829fece3190f1a8efccf50b7d0921	4c2189b6b5ced3cb80093414e9449de9	ea3433f2c148c6fae4cc2e9ae197f5b8	29ccf8b234ac00b114fb2c8e1c44f932	3e93fd55a231bb99b67a666bad8446a8	237135dc8b20f922cabee934f7d410a1	2a13ecb6c618ddf8154298c69336dd8e	1986030e3c5cd5df6d869054bc96e536	8f1c11c7b732265cbfc1bb7dbd0241e7	bad4f7c5ada34a1f813946abcfe5c556	1fa555f9a74d47a6ca7a65a347bc885f	059c8f8bb468064b134ea6d3661761ea	32c4498732e02af61d331441ceabc5f5	6a129e8ae637c96e7bb56223913911f7	86deb5cf8d6f29d383136e0d09863b69	7dfa96abfa7484bb6c9cfa90dc9b606f	3f1ed51e954b35a8108c12dd882b696b	9f4d14b114e7499772a797790d81c1db	180b74e94caf35fac5e1f0f4b7ad9d9f	d315a0b30c8e21db4cfe89e65c0b2bf1	4b548f1f6fc22f32237396b7d4ffee6e	904ad13c7b8512200836d5cd9fb09e1b	0f92fcc184a951ff8b0914467ad2f8f9	74923f4bbde849e27fc4eda25d757e2a	a6099802840e60febef8e896967b7747
8937656c16c20701c107e715bad86732	1.0	0.282	0.726	0.09	0.011	0.112	0.097	0.115	0.526	0.979	0.649	0.841	0.203	0.719	0.287	0.283	0.016	0.019	0.631	0.942	0.179	0.867	0.003	0.235	0.449	0.126	0.904	0.617	0.894	0.853	0.582	0.687	0.145	0.264	0.217	0.063	0.732	0.195	0.421	0.024	0.243	0.236	0.161	0.997	0.864	0.004	0.311	0.085	0.0	0.383	0.789	0.004	0.376	0.573	0.516	0.227	0.652	0.006	0.027	0.0	0.96	0.574	0.451	0.578	0.0	0.023	0.919	0.808	0.737	0.867	0.965	0.238	0.661	0.314	0.022	0.961	0.176	0.975	0.064	0.007	0.338	0.036	0.365	0.238	0.97	0.011	0.201	0.134	0.353	0.01	0.006	0.342	0.382	0.013	0.267	0.81	0.494	0.702	0.089	0.777	0.462	0.001	0.189	0.012	0.067	0.184
ac5402de1ddf427ab8d2b0a8a0a44f19	0.282	1.0	0.0	0.806	0.573	0.134	0.359	0.858	0.168	0.205	0.461	0.434	0.0	0.591	0.575	0.8	0.949	0.409	0.736	0.61	0.835	0.333	0.009	0.995	0.045	0.709	0.168	0.0	0.42	0.932	0.749	0.312	0.848	0.633	0.975	0.012	0.127	0.862	0.574	0.838	0.82	0.897	0.347	0.241	0.995	0.718	0.18	0.034	0.817	0.29	0.985	0.038	0.063	0.998	0.321	0.963	0.851	0.221	0.97	0.196	0.296	0.492	0.766	0.605	0.806	0.527	0.237	0.645	0.608	0.695	0.89	0.309	0.824	0.123	0.805	0.114	0.125	0.32	0.545	0.436	0.549	0.158	0.98	0.076	0.247	0.551	0.032	0.103	0.772	0.028	0.172	0.86	0.674	0.318	0.266	0.559	0.043	0.619	0.085	0.089	0.238	0.035	0.498	0.464	0.432	0.61
ea2b0e4a93c24c6c3661cbe347f93b74	0.726	0.0	1.0	0.245	0.007	0.434	0.059	0.231	0.0	0.259	0.007	0.0	0.315	0.339	0.073	0.02	0.606	0.0	0.018	0.001	0.997	0.15	0.376	0.108	0.007	0.013	0.0	0.612	0.0	0.009	0.871	0.052	0.063	0.762	0.062	0.126	0.041	0.79	0.0	0.543	0.021	0.47	0.494	0.745	0.092	0.002	0.812	0.0	0.0	0.149	0.86	0.007	0.603	0.659	0.1	0.217	0.02	0.477	0.02	0.163	0.71	0.143	0.769	0.129	0.001	0.334	0.977	0.502	0.019	0.026	0.176	0.17	0.057	0.403	0.14	0.552	0.035	0.725	0.123	0.321	0.002	0.002	0.053	0.319	0.076	0.0	0.874	0.012	0.452	0.189	0.769	0.003	0.558	0.007	0.371	0.014	0.986	0.099	0.113	0.0	0.275	0.755	0.08	0.019	0.0	0.655
60c57911662a9159dfdd0fc05d975a55	0.09	0.806	0.245	1.0	0.0	0.0	0.02	0.055	0.027	0.031	0.008	0.031	0.299	0.061	0.049	0.0	0.007	0.005	0.006	0.675	0.091	0.902	0.458	0.655	0.528	0.075	0.362	0.384	0.0	0.43	0.125	0.082	0.425	0.68	0.021	0.092	0.703	0.325	0.248	0.682	0.0	0.906	0.788	0.033	0.536	0.0	0.092	0.007	0.0	0.919	0.32	0.024	0.834	0.58	0.204	0.024	0.007	0.616	0.002	0.0	0.149	0.065	0.008	0.866	0.004	0.004	0.257	0.031	0.522	0.001	0.987	0.792	0.212	0.001	0.001	0.484	0.542	0.729	0.015	0.124	0.065	0.001	0.728	0.413	0.041	0.026	0.362	0.211	0.17	0.314	0.71	0.317	0.021	0.103	0.548	0.363	0.69	0.012	0.274	0.152	0.0	0.374	0.325	0.006	0.0	0.448
79280cea51a6fe8a3432b2f266dd34db	0.011	0.573	0.007	0.0	1.0	0.0	0.03	0.052	0.049	0.047	0.959	0.0	0.369	0.271	0.025	0.0	0.001	0.0	0.0	0.939	0.347	0.688	0.096	0.433	0.532	0.166	0.211	0.605	0.131	0.605	0.25	0.011	0.609	0.59	0.91	0.62	0.655	0.787	0.088	0.315	0.0	0.83	0.095	0.012	0.449	0.0	0.881	0.0	0.0	0.933	0.531	0.0	0.63	0.101	0.56	0.077	0.046	0.756	0.001	0.0	0.018	0.883	0.245	0.104	0.0	0.002	0.599	0.27	0.727	0.0	0.021	0.517	0.341	0.025	0.0	0.886	0.028	0.165	0.002	0.631	0.013	0.001	0.247	0.563	0.002	0.0	0.986	0.385	0.738	0.97	0.01	0.04	0.107	0.0	0.594	0.001	0.779	0.004	0.216	0.549	0.018	0.972	0.969	0.047	0.0	0.159
149e7d5e484d157f2ac6140a2111618e	0.112	0.134	0.434	0.0	0.0	1.0	0.118	0.005	0.007	0.013	0.274	0.001	0.44	0.243	0.803	0.0	0.008	0.0	0.024	0.207	0.299	0.059	0.244	0.736	0.5	0.01	0.852	0.195	0.005	0.636	0.005	0.076	0.769	0.071	0.061	0.269	0.643	0.07	0.007	0.911	0.0	0.025	0.816	0.037	0.224	0.0	0.211	0.016	0.0	0.579	0.902	0.007	0.576	0.888	0.079	0.049	0.081	0.208	0.0	0.0	0.086	0.73	0.388	0.154	0.0	0.008	0.332	0.093	0.64	0.001	0.005	0.141	0.513	0.0	0.0	0.215	0.456	0.135	0.046	0.291	0.02	0.0	0.984	0.327	0.0	0.005	0.375	0.117	0.097	0.666	0.243	0.171	0.407	0.09	0.503	0.248	0.014	0.001	0.111	0.884	0.002	0.008	0.502	0.012	0.0	0.355
04195686f2b70585790ec75320de0d6f	0.097	0.359	0.059	0.02	0.03	0.118	1.0	0.263	0.342	0.104	0.984	0.363	0.35	0.326	0.004	0.625	0.552	0.0	0.125	0.859	0.157	0.113	0.964	0.835	0.177	0.276	0.466	0.393	0.027	0.629	0.85	0.074	0.111	0.442	0.75	0.044	0.945	0.116	0.03	0.863	0.321	0.304	0.999	0.091	0.298	0.016	0.513	0.187	0.0	0.573	0.878	0.08	0.643	0.001	0.03	0.975	0.471	0.447	0.683	0.003	0.13	0.608	0.931	0.534	0.198	0.571	0.0	0.248	0.052	0.01	0.202	0.265	0.707	0.645	0.785	0.566	0.887	0.094	0.389	0.416	0.158	0.059	0.07	0.156	0.056	0.064	0.004	0.167	0.031	0.926	0.547	0.227	0.712	0.048	0.456	0.407	0.286	0.468	0.53	0.064	0.47	0.659	0.717	0.072	0.004	0.881
ad52a0f6646c574417ce0b13b84acfa9	0.115	0.858	0.231	0.055	0.052	0.005	0.263	1.0	0.448	0.385	0.202	0.048	0.261	0.325	0.255	0.007	0.762	0.0	0.103	0.49	0.253	0.099	0.379	0.008	0.662	0.011	0.95	0.458	0.82	0.496	0.733	0.192	0.662	0.145	0.364	0.02	0.754	0.183	0.034	0.253	0.012	0.594	0.318	0.0	0.06	0.0	0.329	0.017	0.001	0.762	0.279	0.008	0.352	0.409	0.033	0.454	0.017	0.976	0.04	0.062	0.436	0.804	0.38	0.035	0.0	0.196	0.975	0.436	0.107	0.311	0.778	0.24	0.51	0.003	0.137	0.593	0.156	0.166	0.081	0.319	0.0	0.001	0.968	0.974	0.038	0.017	0.192	0.002	0.886	0.303	0.488	0.283	0.274	0.076	0.029	0.073	0.019	0.904	0.761	0.223	0.004	0.041	0.224	0.533	0.017	0.783
e6a34eb113dba66df0b8bbec907a8f5d	0.526	0.168	0.0	0.027	0.049	0.007	0.342	0.448	1.0	0.15	0.189	0.0	0.297	0.124	0.347	0.002	0.001	0.0	0.006	0.298	0.952	0.902	0.572	0.336	0.128	0.79	0.009	0.106	0.0	0.0	0.052	0.305	0.655	0.716	0.256	0.103	0.014	0.112	0.0	0.249	0.0	0.399	0.748	0.529	0.147	0.0	0.052	0.001	0.0	0.159	0.894	0.0	0.906	0.216	0.583	0.301	0.134	0.263	0.0	0.001	0.157	0.572	0.629	0.141	0.0	0.0	0.022	0.361	0.218	0.184	0.0	0.013	0.321	0.0	0.023	0.801	0.091	0.691	0.033	0.184	0.061	0.0	0.063	0.09	0.005	0.0	0.464	0.022	0.348	0.72	0.059	0.008	0.209	0.0	0.09	0.012	0.732	0.397	0.897	0.006	0.001	0.02	0.812	0.015	0.0	0.325
5d62137a2d05df0be8d6b7e163a3ef08	0.979	0.205	0.259	0.031	0.047	0.013	0.104	0.385	0.15	1.0	0.423	0.221	0.224	0.033	0.877	0.011	0.061	0.229	0.788	0.598	0.453	0.735	0.297	0.578	0.351	0.289	0.882	0.742	0.64	0.002	0.152	0.833	0.404	0.367	0.749	0.106	0.254	0.807	0.208	0.013	0.315	0.576	0.439	0.362	0.051	0.018	0.13	0.468	0.112	0.518	0.123	0.272	0.004	0.004	0.817	0.339	0.829	0.976	0.931	0.301	0.656	0.221	0.135	0.693	0.006	0.016	0.633	0.037	0.681	0.003	0.211	0.394	0.647	0.61	0.277	0.626	0.844	0.44	0.063	0.048	0.696	0.008	0.402	0.617	0.462	0.008	0.932	0.251	0.187	0.256	0.662	0.29	0.225	0.868	0.075	0.03	0.625	0.189	0.517	0.102	0.898	0.225	0.371	0.124	0.043	0.894
